protein,SIMmin_7CUT0,SIMmax_7CUT0,SIMavg_7CUT0,SIMavgT5_7CUT0,SIMmin_7CUT1,SIMmax_7CUT1,SIMavg_7CUT1,SIMavgT5_7CUT1,SIMmin_7CUT2,SIMmax_7CUT2,SIMavg_7CUT2,SIMavgT5_7CUT2,SIMmin_7CUT3,SIMmax_7CUT3,SIMavg_7CUT3,SIMavgT5_7CUT3,SIMmin_7CUT4,SIMmax_7CUT4,SIMavg_7CUT4,SIMavgT5_7CUT4,SIMmin_7CUT5,SIMmax_7CUT5,SIMavg_7CUT5,SIMavgT5_7CUT5,SIMmin_7CUT6,SIMmax_7CUT6,SIMavg_7CUT6,SIMavgT5_7CUT6,SIMmin_7CUT7,SIMmax_7CUT7,SIMavg_7CUT7,SIMavgT5_7CUT7
AGTR1_RABIT,11.02,99.16,39.64807453416157,98.99399999999999,1.02,93.75,14.706053962900478,93.75,10.04,75.86,51.53749999999988,75.86,12.87,98.61,54.81256249999983,98.61,16.31,98.68,43.358816199376776,98.418,9.47,98.39,33.61728260869571,98.39,6.87,93.75,44.5324451410658,87.916,1.82,96.3,17.69700900900904,95.558
AGTR2_HUMAN,11.43,96.97,38.068653250774055,88.45599999999999,1.35,71.43,17.819634551494953,68.572,8.61,94.2,42.30942724458209,87.074,13.62,70.83,52.14327639751567,70.83,15.89,61.04,43.174114906832386,61.04,8.96,98.39,36.73611455108356,91.52399999999999,6.11,61.22,42.29198757763968,60.322,0.38,47.06,14.17039252336454,47.06
AGTR2_RAT,11.43,96.97,38.11987616099072,88.45599999999999,0.48,71.43,18.89421487603307,66.668,8.61,94.2,42.43729102167197,87.93199999999999,13.62,70.83,52.14327639751567,70.83,15.89,61.04,43.174114906832386,61.04,8.96,98.39,36.533219814241406,91.21199999999999,6.11,61.22,42.29198757763968,60.322,0.38,47.06,14.17039252336454,47.06
AGTRA_RAT,11.02,99.16,39.7280340557276,98.99399999999999,1.08,93.75,16.139317803660518,93.75,10.04,75.86,51.53749999999988,75.86,12.38,98.61,54.22253105590056,98.61,16.31,98.68,43.63424148606797,98.68,9.47,98.39,33.495015527950315,98.39,6.87,93.75,44.5324451410658,87.916,1.82,92.59,18.244270270270327,92.59
AGTRB_RAT,10.98,93.96,39.887043343653275,93.90399999999998,1.02,93.75,15.065277310924358,93.75,10.04,75.86,51.53749999999988,75.86,12.38,98.61,54.22253105590056,98.61,17.75,86.42,44.531578947368494,86.42,9.32,95.16,34.414535603715144,95.16,6.11,93.75,44.74196594427232,93.75,1.82,92.59,18.7128366247756,92.59
APJ_HUMAN,11.8,53.35,36.8742879256966,53.315999999999995,0.82,40.91,12.877918781725874,39.224000000000004,7.36,62.3,43.49317337461289,61.532000000000004,12.87,76.39,52.95077399380801,76.39,16.88,60.49,42.12390092879229,60.2,8.99,57.81,35.9600619195048,57.448,6.87,64.71,42.32996904024778,63.85199999999999,1.92,30.43,14.02332110091744,30.43
B0FL73_CAVPO,13.74,89.77,35.080572755417975,87.98999999999998,2.08,95.83,15.376056105610584,95.41399999999999,10.18,96.43,51.90921052631589,96.072,13.43,98.61,55.73503105590081,97.50000000000001,16.37,98.67,45.37972136222903,98.40200000000002,15.24,71.0,27.629938080495403,67.69200000000001,6.87,94.74,38.66402476780193,94.412,1.64,85.25,11.662912087912066,79.348
B9UM26_CANLF,10.38,76.42,34.95821981424146,75.96400000000001,0.9,37.5,8.17926640926643,37.5,7.95,89.29,46.1145510835912,83.35400000000001,14.81,95.83,51.696470588235606,94.16799999999999,14.29,94.29,40.25072755417966,90.858,8.33,75.41,33.38747678018573,70.48599999999999,8.02,90.0,41.0186222910219,87.542,1.89,49.06,12.278479853479826,43.019999999999996
BKRB1_CANLF,10.51,75.82,37.981656346749126,75.76599999999999,1.61,45.83,19.309731993299852,45.83,8.98,73.02,45.46585139318868,73.02,13.86,86.11,52.41857585139331,85.554,16.02,78.21,43.994164086687334,78.21,8.24,75.76,32.514829721362055,75.45599999999999,6.08,85.71,42.73529411764696,85.71,0.52,76.47,16.214598540146007,76.47
BKRB1_HUMAN,10.78,97.17,39.03328173374621,94.28200000000001,1.11,87.5,20.776122112211308,85.834,8.68,96.61,45.8475077399379,93.898,14.35,97.22,53.48317337461311,96.11000000000001,16.74,98.65,46.12421052631582,98.38,9.68,96.92,34.96091331269354,92.68800000000002,5.32,85.71,41.173167701863385,82.37799999999999,0.54,88.24,15.599579524680161,85.886
BKRB1_MACFA,10.95,97.17,38.94204334365321,94.44000000000001,2.15,87.5,21.965429042904354,86.522,8.26,96.61,44.665232198142235,94.57600000000001,14.55,97.22,53.61839009287935,96.11000000000001,16.3,98.65,46.26674922600614,98.10999999999999,9.68,96.92,34.71117647058822,92.99000000000001,5.32,85.71,41.173167701863385,82.37799999999999,0.54,88.24,15.599579524680161,85.886
BKRB1_RABIT,10.12,83.52,37.758188854489234,83.362,1.11,82.61,20.563327814569526,81.922,8.26,86.44,44.26399380804947,85.762,13.62,91.67,52.123808049535675,91.67,15.86,95.95,44.77667182662525,95.95,8.96,77.61,32.65908668730643,77.08800000000001,4.58,65.31,40.830030959752314,64.90200000000002,0.34,88.24,14.676861313868631,88.24
BKRB1_RAT,9.31,73.22,35.889040247678004,73.16600000000001,2.22,55.56,19.985282392026576,53.336,6.72,67.14,37.729040247678164,67.14,13.37,84.72,51.46625386996914,84.72,15.86,97.3,45.33400928792566,97.03,8.6,77.61,32.05826625386994,77.542,4.56,73.81,39.945681114551135,72.858,,,,
BKRB2_CAVPO,11.99,80.25,38.45962848297212,79.974,2.33,52.63,19.506973244147165,51.528,8.57,83.61,45.81275541795651,83.498,14.36,97.22,55.77865325077393,96.66400000000002,15.86,93.42,43.714876160990784,93.42,8.63,90.48,34.81360681114555,90.48,6.82,87.76,41.310170278637706,87.35,2.6,72.22,17.76112962962969,72.22
BKRB2_HUMAN,11.82,81.08,37.15357585139318,80.91399999999999,2.78,40.43,18.14692691029905,40.122,9.8,79.1,39.759643962848045,77.98599999999999,12.87,94.44,53.44286377708987,94.44,15.42,93.42,43.92492260061911,93.158,8.6,96.83,35.0775851393189,95.55999999999999,6.82,85.71,40.82614551083595,85.71,1.56,85.71,18.732379182156123,83.01199999999999
BKRB2_RABIT,11.55,78.36,38.37479876160992,78.358,2.0,58.33,22.890815307820336,57.616,7.95,85.0,44.29060371516996,84.61,13.86,97.22,55.41357585139316,96.66400000000002,13.03,68.97,40.89261609907102,68.97,8.6,96.83,35.421191950464376,96.19399999999999,7.2,85.71,42.291207430340435,85.30199999999999,1.56,85.71,18.676166666666646,85.71
BKRB2_RAT,11.53,81.08,37.243854489164015,80.63799999999999,2.0,35.29,13.58756218905474,34.63199999999999,8.64,85.0,45.11083591331259,84.72200000000001,13.86,97.22,55.408653250774,97.22,15.42,93.42,44.054458204334246,93.158,8.24,93.65,34.89148606811145,93.01599999999999,7.2,87.76,42.46179566563457,87.35,1.56,85.71,18.732379182156123,83.01199999999999
BRS3_HUMAN,11.77,73.36,36.00063467492258,72.45200000000001,2.38,89.74,15.339599332220391,79.596,7.11,98.15,48.27453560371519,97.79199999999999,12.87,98.61,50.01004658385094,96.944,14.88,75.95,38.985294117646994,71.15799999999999,11.15,94.2,35.49574303405576,91.88199999999999,8.78,68.52,38.76003095975199,67.544,1.8,43.75,17.073357798165123,43.75
BRS3_MOUSE,11.8,84.86,36.39157894736842,82.56,2.31,89.74,14.73517529215359,79.596,7.11,98.15,47.03170278637779,97.42999999999999,12.87,98.61,50.08226006191953,98.61,15.95,98.73,41.63024767801846,91.406,12.08,77.03,35.956578947368385,77.03,6.49,93.75,42.546222910216656,87.728,2.56,43.59,14.966715063520905,40.512
BRS3_RAT,11.82,84.86,35.17659442724461,81.65200000000002,1.49,30.77,7.474875717017192,28.46,7.53,96.36,48.78185758513929,95.998,12.87,98.61,50.01004658385094,96.944,16.38,98.73,41.48018575851382,91.194,11.15,94.2,34.88781733746128,91.30199999999999,6.87,93.75,42.44879256965936,88.704,2.56,43.59,14.966715063520905,40.512
C3AR_HUMAN,10.25,38.88,27.883065015479936,38.751999999999995,1.23,45.0,17.312173913043516,45.0,7.53,62.96,43.717770897832736,62.86800000000001,14.71,66.67,51.43261609907135,66.67,9.96,21.08,15.43332817337467,21.02,8.73,62.07,33.874860681114484,61.798,4.96,64.58,44.2705572755417,64.318,0.54,58.82,16.836282527881078,58.82000000000001
C5AR1_HUMAN,10.59,60.78,37.31270897832823,59.32000000000001,1.02,40.91,14.534046822742534,38.18,7.88,73.33,44.360092879256825,71.244,13.86,84.93,53.8224613003097,81.83200000000001,17.65,67.9,43.4109907120742,65.636,8.36,58.62,31.260123839009267,56.664,4.2,70.59,40.85390092879258,69.388,0.77,50.0,17.242820512820533,46.0
C5AR1_RAT,10.26,60.78,35.929427244582044,58.286,2.29,31.58,11.556786324786339,30.034000000000002,7.56,73.33,47.72380804953554,72.84599999999999,12.81,84.93,52.291517027863755,81.91600000000001,18.06,67.9,42.501749226006034,66.426,7.25,47.62,28.459024767801843,47.588,4.55,70.59,38.75153250773988,67.84400000000001,0.78,52.94,18.35824817518257,51.763999999999996
CALRL_HUMAN,13.18,38.1,25.0107275541796,38.025999999999996,1.11,32.1,8.840033726812853,30.977999999999998,10.4,33.33,21.997229102167267,33.14,11.87,48.75,35.14269349845225,48.33,10.76,73.44,39.16184210526312,72.282,5.13,62.96,25.15080495356033,62.96,7.25,61.22,35.43506191950467,59.760000000000005,1.61,34.78,14.607870370370362,33.773999999999994
CASR_HUMAN,10.9,85.48,14.20041795665633,74.066,0.93,96.51,8.012695507487523,83.378,8.07,99.1,14.44386996904028,87.296,10.6,91.59,15.530479876161177,77.744,13.69,60.51,21.086408668730783,56.1,9.32,90.18,22.241640866873034,82.97,8.55,94.92,17.552755417956526,86.706,0.52,69.79,4.398680297397778,59.12600000000001
CASR_RAT,10.5,85.48,14.56458204334369,74.08800000000001,0.93,96.51,8.12703333333335,83.378,8.52,99.1,14.84894736842107,87.38,10.28,91.59,15.230479876160933,77.63,13.82,60.51,22.533606811145628,55.775999999999996,10.0,90.18,23.12263157894744,82.59400000000001,7.76,94.92,17.603034055727555,86.626,0.52,69.79,4.347173913043484,58.89000000000001
CCKAR_CAVPO,13.01,82.47,35.432708978328236,81.85999999999999,2.04,55.56,17.46271666666669,47.05200000000001,9.13,86.36,49.26150154798729,84.25000000000001,13.15,82.43,51.31601562500039,82.43,12.99,98.7,40.782879256965984,98.44,14.73,70.34,25.534860681114534,69.33600000000001,5.73,97.96,41.64436532507759,97.96,1.92,88.89,16.624537037037065,88.89
CCKAR_HUMAN,13.12,83.71,35.35137770897834,82.36999999999999,0.48,58.33,19.297229729729743,57.09799999999999,9.21,96.97,46.731145510836015,91.37800000000001,13.15,82.43,51.31601562500039,82.43,12.99,98.7,40.84143962848305,98.7,13.5,55.28,25.14755417956662,54.708000000000006,6.11,97.96,41.46357142857156,97.96,1.56,88.89,16.216066176470648,87.40799999999999
CCKAR_MOUSE,12.91,84.63,35.09574303405574,84.446,0.48,58.33,19.297229729729743,57.09799999999999,9.62,96.97,47.0072600619195,91.37800000000001,13.15,82.43,51.31601562500039,82.43,13.42,98.7,40.75986024844729,98.44,14.07,80.65,24.54852941176465,77.58399999999999,5.73,97.96,41.74866873065033,97.96,1.61,92.59,15.795250463821953,91.85000000000002
CCKAR_RAT,13.68,84.63,34.83611455108361,84.19800000000001,2.63,58.33,16.63089225589234,58.33,9.54,86.36,45.83168730650164,82.61800000000001,13.15,82.43,51.31601562500039,82.43,13.42,98.7,40.75986024844729,98.44,14.4,80.65,25.691857585139307,78.58800000000001,6.11,97.96,41.46357142857156,97.96,1.08,92.59,15.795203703703772,91.85000000000002
CCR1_HUMAN,11.69,90.14,39.57363777089785,88.264,0.57,68.42,16.63067226890754,64.26,9.62,88.52,50.25879256965922,85.65399999999998,14.29,98.59,53.756439628483115,98.02600000000002,16.31,88.0,44.89825077399378,87.202,9.92,91.23,35.35518575851392,89.82600000000001,5.34,95.83,43.140913312693456,94.582,0.77,87.5,16.332293906810033,86.666
CCR1_MOUSE,11.6,90.14,39.212894736842095,88.96799999999999,1.14,68.42,16.902053872053852,64.26,10.29,88.52,49.38825077399342,86.22599999999998,14.88,98.59,54.720108359133164,98.30800000000002,15.02,94.67,44.33938080495352,89.87,9.5,91.23,34.45261609907119,89.47600000000001,5.73,97.92,41.686362229102244,95.418,1.08,95.83,17.290000000000006,90.832
CCR2_HUMAN,11.74,64.59,36.98803405572755,64.4,1.06,42.86,16.002116666666666,42.86,10.37,67.14,41.58075851393205,67.14,15.49,98.57,54.61185758513949,98.57,15.98,74.67,44.225309597523186,74.67,9.47,93.1,34.167894736842044,93.1,5.34,70.83,40.9373839009289,70.83,1.92,37.5,13.407064220183488,35.928000000000004
CCR2_MOUSE,11.78,97.32,37.54377708978328,91.13799999999999,2.33,97.67,13.639614093959763,85.11200000000001,9.24,98.28,48.024256965944005,94.21799999999999,15.49,98.57,54.79998447204984,96.856,17.18,92.96,44.874969040247905,89.30199999999999,9.88,96.55,35.795588235294105,94.82600000000001,4.89,98.21,35.61982972136209,92.60399999999998,1.08,88.24,16.629003690036974,88.24
CCR2_RAT,11.94,97.32,37.557275541795654,91.24,2.33,97.67,13.452818791946335,85.578,9.24,98.28,48.042492260061664,94.556,15.49,98.57,54.79998447204984,96.856,16.3,92.96,44.98551083591328,89.30199999999999,9.88,96.55,35.913080495355985,95.172,4.89,98.21,35.58914860681103,92.60399999999998,1.08,88.24,16.629003690036974,88.24
CCR3_HUMAN,11.47,92.8,39.26498452012383,89.68,2.24,90.91,18.663913043478285,84.394,9.62,83.87,50.84058823529396,82.268,13.69,89.04,52.71362229102198,88.73200000000001,15.45,96.0,42.78233746130028,90.874,9.5,98.25,35.92808049535596,95.792,4.96,95.83,43.31902476780177,95.41399999999999,1.15,87.5,16.61151624548737,85.0
CCR3_MACFA,11.34,92.8,38.55286377708987,89.39000000000001,1.53,90.91,16.99018549747051,82.728,9.62,83.87,50.51620743034039,82.016,13.69,89.04,49.645603715170424,88.492,15.88,96.0,42.78051083591335,90.874,9.5,98.25,35.82877708978319,95.442,5.73,95.83,42.9494736842104,94.58,1.15,87.5,16.61151624548737,85.0
CCR3_MOUSE,11.52,75.75,38.645712074303354,75.748,1.06,43.48,16.781020066889667,39.891999999999996,9.68,74.6,47.8563622291022,74.36800000000001,16.07,87.32,55.365634674922696,87.32,14.47,71.05,39.96467492260071,70.91400000000002,10.33,85.96,36.4962538699691,85.60999999999999,4.58,89.58,42.17600619195059,89.58,1.15,87.5,16.58900722021655,87.5
CCR4_HUMAN,10.85,93.09,37.93924148606818,87.38400000000001,0.82,44.44,15.587491638795974,43.492,10.04,70.42,47.49232919254664,70.06800000000001,15.49,87.14,54.05136645962748,86.854,15.09,98.65,42.29077399380804,92.704,9.09,75.44,35.22031055900612,75.088,5.64,87.72,35.477027863777025,84.21200000000002,0.72,64.71,15.613265306122498,64.71
CCR4_MOUSE,11.18,93.09,38.20289473684214,87.48400000000001,0.41,47.62,18.950316666666637,46.984,10.04,70.42,47.49232919254664,70.06800000000001,15.49,87.14,54.05136645962748,86.854,15.09,98.65,42.56043343653242,92.704,9.09,75.44,35.22031055900612,75.088,6.02,87.72,35.59698142414879,84.21200000000002,0.72,64.71,15.613265306122498,64.71
CCR5_HUMAN,11.78,89.1,37.288173374612924,84.26199999999999,1.16,91.3,19.171569282136897,82.60600000000001,8.71,80.0,50.26035714285713,79.796,14.12,90.28,51.19794117647079,88.33599999999998,15.22,64.77,40.75942724458214,64.196,9.88,93.1,35.35029503105588,92.412,6.06,63.16,33.745419254658486,61.562,1.08,88.24,16.09712962962972,88.24
CCR5_MACFA,11.2,89.1,37.934411764705956,84.66399999999999,1.06,91.3,17.791018363939944,82.206,8.71,80.0,50.26035714285713,79.796,14.29,90.28,54.29614551083602,90.224,16.1,73.08,41.91917956656339,72.82199999999999,9.88,93.1,35.35029503105588,92.412,6.06,63.16,33.745419254658486,61.562,1.08,88.24,16.09712962962972,88.24
CCR6_HUMAN,11.13,59.59,37.55208978328159,59.35600000000001,0.82,52.38,17.048019966722126,50.952,10.53,71.83,45.88082043343626,71.54799999999999,14.22,67.12,48.11498452012363,67.12,16.45,59.21,43.83781733746127,58.748000000000005,9.29,65.52,34.21334365325067,65.52,4.2,68.75,42.6249071207431,68.75,1.08,42.86,15.543246753246779,41.001999999999995
CCR8_HUMAN,11.03,61.79,38.6849071207429,61.714,2.04,40.62,16.55726027397261,38.582,8.3,77.36,50.51815789473695,77.36,16.07,85.71,55.75948916408638,85.71,16.88,68.0,43.88224458204334,68.0,8.96,70.18,34.495696594427265,70.18,6.06,72.55,38.464659442724404,71.374,1.44,43.48,17.04166666666664,42.394
CCR9_HUMAN,11.29,57.71,36.714969040247645,57.544000000000004,1.11,42.86,16.730988467874802,42.86,10.77,65.33,42.73964396284831,64.966,13.73,74.32,50.94219814241502,73.78,17.61,62.67,42.640263157894644,62.67,8.2,62.07,31.447182662538584,62.07000000000001,4.51,60.34,38.98015479876165,59.652,0.54,52.94,17.55670411985029,52.94
CLTR1_CAVPO,10.9,83.9,37.4108823529412,78.18199999999999,1.23,55.56,15.901099830795268,53.922000000000004,8.79,96.49,49.47021671826647,91.43,14.35,76.39,52.64108695652178,75.556,17.53,59.77,42.829969040247626,59.56600000000001,8.96,96.72,31.609674922600675,88.17,7.63,97.67,38.21377708978341,89.97200000000001,1.15,76.47,11.780094696969746,69.412
CLTR1_HUMAN,11.19,83.9,36.767647058823506,77.96400000000001,0.82,58.33,12.70886597938144,58.33,8.37,96.49,49.311377708978526,91.768,14.35,76.39,52.64108695652178,75.556,16.76,64.1,40.91273993808041,61.698,8.6,96.72,31.59814241486068,88.022,7.63,97.67,38.10229102167189,90.23,0.78,76.47,11.432490636704173,68.796
CLTR2_HUMAN,11.23,55.31,37.498637770897744,55.092000000000006,1.91,53.85,20.424883720930225,53.08,8.37,68.97,46.96356037151692,67.93199999999999,14.36,79.17,55.73125386996894,77.50200000000001,14.85,55.26,40.15289473684217,54.85799999999999,9.03,53.97,30.895897832817344,52.989999999999995,4.96,60.87,41.39925696594405,60.79,0.72,47.06,14.107430683918736,47.06
CNR1_HUMAN,12.57,95.14,31.596934984520146,95.14,1.89,30.91,12.705134680134675,30.910000000000004,11.72,82.88,27.14131578947362,82.88,12.15,98.59,44.40255417956695,98.59,13.27,97.01,43.8721362229104,97.01,12.5,55.0,32.616292834891034,54.5,7.63,60.0,43.468753894081054,60.0,2.33,97.67,14.845526802218112,97.67
CNR1_MOUSE,12.64,95.14,31.482624223602485,85.63,1.89,30.91,12.705134680134675,30.910000000000004,10.94,82.88,26.840108695652127,75.174,12.15,98.59,44.524627329192796,95.21000000000001,13.27,97.01,44.07950310559022,91.43199999999999,12.5,55.0,32.616292834891034,54.5,7.63,60.0,43.468753894081054,60.0,2.33,97.67,14.864155844155846,85.578
CNR1_RAT,12.64,95.14,31.482624223602485,85.63,1.89,30.91,12.705134680134675,30.910000000000004,10.94,82.88,26.840108695652127,75.174,12.15,98.59,44.524627329192796,95.21000000000001,13.27,97.01,44.07950310559022,91.43199999999999,12.5,55.0,32.616292834891034,54.5,7.63,60.0,43.468753894081054,60.0,2.33,97.67,14.864155844155846,85.578
CNR2_HUMAN,10.57,75.87,35.37337461300318,74.766,1.79,53.85,15.992727272727198,51.541999999999994,7.95,88.89,46.17707430340546,87.112,10.43,95.77,43.094071207430595,95.77,14.04,76.12,43.310510835913405,76.12,10.66,92.31,34.34184210526317,91.726,6.06,63.83,39.82668730650177,63.75599999999999,1.8,67.65,13.841243144424157,61.178
CNR2_MOUSE,10.58,75.48,36.62261609907115,74.45400000000001,1.08,36.0,14.48127334465204,34.398,8.71,80.0,46.058204334365335,80.0,10.9,97.18,44.116253869969434,96.898,14.98,76.12,45.795931677018785,74.72,10.63,92.31,33.62603715170265,92.03,7.63,67.35,43.19304953560356,67.08,1.04,52.94,14.06826168224302,52.94
CNR2_RAT,10.51,75.87,35.75583591331269,75.792,1.91,38.46,14.851649659863952,36.81,7.95,88.89,46.93730650154779,87.112,11.37,97.18,44.320201238390375,96.898,14.98,76.12,45.795931677018785,74.72,10.26,90.91,33.146191950464335,90.606,6.46,59.18,39.29510835913343,59.108000000000004,2.08,67.65,13.931045871559672,62.01400000000001
CRFR1_MOUSE,10.54,95.69,27.784241486068133,90.548,2.13,93.62,15.658583196046191,82.55600000000001,10.07,79.31,24.918447204968952,72.18,9.9,84.29,33.67187306501561,80.39000000000001,12.78,93.94,38.27662538699679,89.724,6.57,76.36,27.48045031055903,76.36,6.49,94.34,35.48838509316769,93.96200000000002,0.54,94.12,17.04483208955228,94.12
CRFR1_RAT,10.63,95.69,27.779318885448987,90.984,2.13,93.62,15.396398026315913,82.982,10.07,79.31,24.918447204968952,72.18,9.5,84.29,33.22359133126955,80.21000000000001,12.83,93.94,38.753560371517054,89.724,6.57,76.36,27.48045031055903,76.36,6.49,94.34,35.48838509316769,93.96200000000002,0.54,94.12,17.04483208955228,94.12
CRFR2_HUMAN,11.07,75.84,27.739767801857532,75.404,2.22,88.89,14.595897858319711,88.89,9.32,79.31,24.306547987616145,79.31,10.71,74.65,35.60414860681121,72.498,11.45,83.58,38.69927244582035,83.58,7.3,76.36,26.136043613707272,76.36,6.49,98.11,35.94636222910208,97.73400000000001,0.38,94.12,16.47589887640455,94.12
CRFR2_MOUSE,11.18,95.66,27.5314086687307,91.25999999999999,2.22,97.67,14.922285223367739,95.91400000000002,11.24,48.95,23.06402173913043,47.891999999999996,10.28,78.57,36.49908668730662,75.814,11.45,98.46,38.551160990712035,95.484,7.3,76.36,26.136043613707272,76.36,6.87,98.11,35.76739938080487,97.73400000000001,0.38,94.12,16.47589887640455,94.12
CRFR2_RAT,10.94,95.66,27.49421052631577,91.69599999999998,1.71,97.67,14.4231606217617,95.91400000000002,11.24,48.95,23.06402173913043,47.891999999999996,10.33,78.57,36.66851393188869,77.786,11.45,98.46,38.44419504643952,95.484,7.3,76.36,26.136043613707272,76.36,6.49,98.11,35.89303405572742,98.11,0.38,94.12,16.47589887640455,94.12
CXCR1_HUMAN,11.17,83.29,39.1269349845201,82.51200000000001,1.23,55.0,16.700166666666654,47.266,9.21,84.29,47.642879256965834,81.79800000000002,14.22,98.55,51.04303405572781,95.506,15.35,83.12,43.07226006191956,81.686,10.7,96.55,37.34603715170264,95.516,6.11,91.67,43.223065015479804,91.25200000000001,0.54,70.59,19.237028037383258,68.23600000000002
CXCR2_HUMAN,11.35,83.29,38.77430340557276,82.84800000000001,2.08,50.0,15.881538461538469,49.6,10.04,84.29,45.699334365324816,84.052,14.22,98.55,51.062151702786615,95.784,15.95,76.54,43.861919504644,76.42200000000001,10.36,96.55,37.393018575851315,95.86,5.34,93.62,42.781006191950496,92.812,0.77,88.24,17.597255985267072,82.35600000000001
CXCR2_RABIT,11.23,81.08,38.00396284829721,80.744,1.28,48.0,18.338935108153052,48.0,10.04,83.1,42.84385448916409,80.846,12.94,84.72,50.34174922600612,84.44200000000001,15.35,83.12,43.28266253869957,81.804,9.64,93.1,35.982043343653146,92.756,6.11,93.62,42.544256965944335,93.23,0.38,88.24,19.227127071823286,82.35600000000001
CXCR3_HUMAN,11.45,85.29,37.70948916408668,84.61000000000001,1.61,84.0,20.916285240464347,84.0,10.12,68.42,40.58860681114563,67.17600000000002,14.36,91.55,50.52489164086694,90.986,15.09,97.26,45.16311145510827,96.986,8.93,68.97,35.9795950155761,68.624,6.82,66.67,40.22634674922587,66.278,0.77,94.12,16.71685082872935,94.12
CXCR3_MOUSE,11.84,87.89,37.739535603715154,86.69,1.61,84.0,21.492529118136417,77.6,8.98,80.25,39.93529411764699,76.64,14.85,94.37,52.509984520123645,93.242,15.52,98.63,46.42335913312694,98.082,8.93,68.97,35.9795950155761,68.624,6.77,60.0,36.71397832817366,59.153999999999996,0.38,94.12,16.124280442804466,85.884
CXCR3_RAT,11.62,87.89,37.67252321981423,87.36999999999999,1.61,84.0,21.492529118136417,77.6,8.68,80.25,39.48136222910209,77.884,14.85,94.37,51.74199690402493,93.80600000000001,15.09,98.63,45.32201238390089,98.356,8.93,68.97,35.9795950155761,68.624,6.84,66.67,39.25490712074293,65.88600000000001,0.38,94.12,16.124280442804466,85.884
CXCR4_HUMAN,10.85,88.67,37.66645510835912,88.552,1.23,61.9,19.24847826086954,56.338,9.39,98.46,42.631377708978334,97.27599999999998,13.86,97.14,52.347244582043466,95.28,19.21,84.42,43.61227554179574,81.92600000000002,9.16,98.28,34.76026397515512,97.934,3.8,81.48,38.44210526315797,81.48,0.77,52.94,17.222490636704176,52.94
CXCR4_MACMU,10.74,90.17,37.381934984520015,89.75200000000001,1.23,61.9,19.24847826086954,56.338,9.39,98.46,42.3984829721362,97.57399999999998,13.73,97.14,52.71453560371541,95.28,17.06,90.28,40.92178018575852,86.37,9.16,98.28,34.76026397515512,97.934,4.92,81.48,39.59537383177566,78.126,0.77,52.94,17.222490636704176,52.94
CXCR4_MOUSE,11.05,88.67,37.36363777089774,87.98,1.44,52.63,17.75863406408086,52.580000000000005,8.98,94.03,41.69134674922599,93.732,13.86,97.14,52.078173374613364,95.28,18.06,84.42,42.058204334365335,81.49000000000001,9.16,98.28,35.35114551083585,97.934,4.92,81.48,39.59537383177566,78.126,0.77,52.94,17.222490636704176,52.94
CXCR4_RAT,11.14,90.17,37.866486068111385,88.57200000000002,1.44,47.83,18.18803278688527,47.83,8.98,86.15,45.819504643962574,85.84400000000001,13.73,97.14,52.44470588235319,95.28,18.82,90.28,41.91116099071187,86.614,9.16,98.28,35.284396284829626,98.28,4.92,81.48,39.59537383177566,78.126,0.77,52.94,17.222490636704176,52.94
CXCR5_HUMAN,11.28,54.57,36.46162538699693,54.462,2.27,36.84,14.805083612040171,35.262,9.54,69.35,46.06868421052611,67.418,12.87,69.01,50.90157894736839,68.922,16.09,54.12,39.68969040247673,54.04600000000001,9.05,67.8,34.689984520123716,67.46000000000001,4.96,62.75,40.02083591331248,62.355999999999995,0.54,58.82,18.621897810219053,58.82000000000001
DRD1_BOVIN,13.2,91.21,34.3360835913312,90.60999999999999,0.96,46.15,13.212908777968996,46.15,8.33,94.83,49.68396284829735,92.416,16.83,97.18,56.68363354037273,96.078,16.89,95.0,40.77456656346749,93.77799999999999,13.31,95.65,27.854055727554165,93.396,10.16,98.72,30.932136222910362,97.71000000000001,1.75,98.18,12.660422018348628,97.09
DRD1_HUMAN,13.45,91.21,34.09965944272452,90.23999999999998,1.82,42.86,17.096524590163938,42.86,7.08,82.76,46.56984520123833,82.14,16.83,97.18,56.68363354037273,96.078,17.57,95.0,40.722492260061834,94.272,13.31,95.65,27.906424148606735,93.18599999999999,10.16,98.72,31.130789473684235,97.45800000000001,1.75,98.18,12.509321100917418,97.45400000000001
DRD1_RAT,13.15,88.21,33.83823529411767,87.83999999999999,1.06,40.0,12.108726003490375,38.104,8.75,94.83,49.80917956656354,91.79599999999999,16.83,97.18,56.13108359133129,97.18,17.45,91.36,40.053544891640946,90.86600000000001,12.74,84.38,27.862306501547934,84.16999999999999,9.63,93.67,29.380464396285035,93.418,1.82,94.55,12.21994505494503,94.186
DRD2_BOVIN,11.04,98.65,31.80479876160991,94.46,1.2,88.89,16.48717863105184,88.89,8.79,98.11,50.30900928792567,97.73400000000001,14.29,84.21,52.97010903426801,84.21,13.84,96.83,50.07413043478257,93.46399999999998,8.37,98.96,16.53244582043342,89.63399999999999,4.58,94.29,41.37767912772607,93.71800000000002,,,,
